Rank,Airport,Passengers Handled 2012,Passengers Handled 2013, % Change2012/13
1,Hong Kong,3267195,3566950,9.17
2,Singapore,3407354,3344500,-1.84
3,Seoul-Incheon,2095145,2121430,1.25
4,Tokyo-Narita,1575302,1787405,13.46
5,Taipei-Taoyuan,1134857,1328120,17.03
6,Shanghai-Pudong,913177,1279536,40.12
7,Dubai-International,1066391,1196795,12.23
8,Kuala Lumpur,1453681,1029057,-29.21
9,Guangzhou,924457,894087,-3.29
10,Abu Dhabi,858511,865595,0.83
11,Ho Chi Minh City,941065,838856,-10.86
12,Beijing-Capital,653435,826018,26.41
13,New Delhi,717032,768051,7.12
14,Yangon,863035,766279,-11.21
15,London-Heathrow,700049,707294,1.03
16,Manila,642218,703592,9.56
17,Doha,562726,671402,19.31
18,Hanoi,654549,654945,0.06
19,Mumbai,560947,609645,8.68
20,Sydney,603608,608515,0.81
21,Osaka-Kansai,747384,604156,-19.16
22,Frankfurt,587228,592522,0.9
23,Jakarta-Soekarno-Hatta,484822,588171,21.32
24,Tokyo-Haneda,475913,500275,5.12
25,Amsterdam,443005,456811,3.12
26,Paris-Charles de Gaulle,414108,453531,9.52
27,Calcutta,427137,434281,1.67
28,Phnom Penh,449122,428845,-4.51
29,Melbourne,444761,416847,-6.28
30,Busan,336363,373709,11.1
31,Colombo,380757,367232,-3.55
32,Macau,529746,351853,-33.58
33,Nagoya-Centrair,279929,332906,18.93
34,Vientiane,276503,319278,15.47
35,Moscow-Domodedovo,340594,316055,-7.2
36,Zürich,304131,299831,-1.41
37,Copenhagen,372068,291740,-21.59
38,Muscat,288109,285836,-0.79
39,Istanbul-Atatürk,253247,285312,12.66
40,Moscow-Sheremetyevo,201216,266889,32.64
41,Helsinki,262301,262456,0.06
42,Siem Reap,233878,262154,12.09
43,Stockholm-Arlanda,229170,258674,12.87
44,Kunming,190796,258015,35.23
45,Vienna,232274,236074,1.64
46,Novosibirsk,165286,212715,28.7
47,Dhaka,260750,243253,-6.71
48,Oslo-Gardermoen,147022,202570,37.78
49,Tel Aviv,188386,209384,11.15
50,Munich,212526,200313,-5.75
